Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción -mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2251012.0,GOBIERNO DE LA INDIA,HUMANIDADES,CERTIFICATE COURSE IN SPOKEN ENGLISH AND MS-OFFICE SKILLS,India (República de India),10/28/2011 12:00:00 AM,"El Programa """"Curso de conversación en inglés y habilidades en MS>Office- está dirigido a profesionales en áreas relacionadas con el tema del curso- con experiencia mínima de dos a tres años (después de haber obtenido el título universitario)- con conocimientos en el programa MS>office- que se desempeñen en el sector público ó privado.  REQUISITOS: Los aspirantes deben tener un promedio de notas universitarias de 3-8/5-0 ser menor de 50 años- dominar el idioma inglés con puntaje mínimo: con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- gozar de buena salud física y mental y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India. Los candidatos Preseleccionados serán llamados a entrevista ante el ICETEX y ante la Embajada de la India- si la Embajada lo considera pertinente.""",Brindar a los participantes la oportunidad de mejorar sus habilidades de conversación y escritura en inglés- como también en MS>Office
2224515.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,SPECIALIZED PROGRAMME ON INTERNETWORKING DESIGN AND LAN WAN ADMINISTRATION,India (República de India),10/31/2014 12:00:00 AM,"El Programa "" SPECIALIZED PROGRAMME ON INTERNETWORKING DESIGN AND LAN WAN ADMINISTRATION "" está dirigido a profesionales en ingeniería- - Ciencias de Computación- Tecnología de la Información y Comunicación- con conocimientos preferiblemente en programación- con dos años de experiencia en temas relacionados con el curso. REQUISITOS: El participante debe ser mayor de 25 y menor de 45 años de edad  tener un promedio de notas universitarias de 3-7/5-0  contar con dos años de experiencia en el área del curso- gozar de buena salud física y mental. El candidato deberá tener buenos conocimientos de idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente.",Brindar a los participantes conocimientos y actualización en el campo de los cursos ofrecidos.
2213311.0,GOBIERNO DE LA INDIA,ADMINISTRACIÓN,DESARROLLO DEL LIDERAZGO (CURSO DE ENTRENAMIENTO),India (República de India),,"El programa: ""INTERNATIONAL TRAINING PROGRAMME ON LEADERSHIP DEVELOPMENT"" está dirigido a profesionales en carreras afines al contenido del curso- que se desempeñen como funcionarios de entidades gubernamentales- instituciones- representantes de los empleados / las organizaciones de empleadores y ejecutivos de servicio y otros funcionarios del sector industrial relacionados con el trabajo administrativo.   REQUISITOS: El aspirante debe ser menor de 50 años de edad tener un promedio de notas universitarias de 3-8/5-0 experiencia profesional de dos años (después de haber obtenido el título universitario) buenos conocimientos de idioma inglés- puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- gozar de buena salud física y mental y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente.   Los candidatos Preseleccionados serán llamados a entrevista ante el ICETEX y ante la Embajada de la India- si la Embajada lo considera pertinente.",> Compartir experiencias y diferentes estilos de liderazgo.> Proporcionar conocimientos sobre la dinámica de relaciones inter>personales y de grupo.> Adquirir habilidades para gestionar y resolver conflictos en el trabajo.> Desarrollar actitudes positivas hacia el trabajo- superiores- compañeros y subordinados > Enfocar puntos de vista de la supervisión- coordinación y motivación a los subordinados para mejorar su eficiencia. > Apreciar los cambios del mercado laboral y las relaciones del empleo en el contexto de la globalización.> Examinar los distintos sistemas y enfoques para la administración del trabajo. > Comprender el concepto y el uso de la inteligencia emocional.> Adquirir los conocimientos para gestionar eficazmente su tiempo.
2228415.0,P & A INTERNACIONAL - UNIVERSIDAD DE LA RIOJA,IDIOMAS,METODOLOGÍAS EDUCATIVAS INNOVADORAS PARA LA ENSEÑANZA DEL INGLÉS,España (Reino de España),,El programa está dirigido a profesionales universitarios en lingüística- lenguas modernas- filología y licenciados en idiomas con énfasis en inglés que laboren en entidades públicas o privadas.  REQUISITOS: El aspirante debe ser mayor de 23 años y menor de 50 años- debe tener promedio de notas universitarias mínimo de 3-7/5-0- experiencia profesional mínima de 1 año en docencia de idioma inglés- tener buenos conocimientos de inglés  puntaje mínimo: TOEFL (IBT): 65 puntos- prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2 (52 a 63 puntos) y gozar de buena salud física y mental.,El programa tiene como objetivo dar a conocer y aplicar diversos tipos de metodologías didácticas innovadoras que consideren el aprendizaje del alumno como eje fundamental.Se trabajarán enfoques de tipo colaborativo- basados en retos y problemas- modelos como el 'Flipped Classroom'- el 'Just in Time Teaching' y otros métodos de tipo híbrido e inductivo.
2201212.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,INTELLIGENT NETWORK VALUE ADDED SERVICES AND MODERN SWITCHING TECHNOLOGIES,India (República de India),,"El Programa ""Redes inteligentes- servicios de valor agregado y tecnologías de conmutación modernas""- está dirigido a profesionales en Ingeniería de Sistemas- con experiencia mínima de un año en el área del curso- y que se desempeñen en entidades públicas ó privadas.   REQUISITOS: Los aspirantes deben ser menores de 45 años de edad- tener un promedio de notas universitarias de 3-7/5-0  conocimientos de idioma inglés con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- gozar de buena salud física y mental y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los candidatos preseleccionados deberán presentar entrevista en ICETEX y luego en la Embajada de la India- si así lo requiere.","Este curso tiene como objetivo proporcionar un conocimiento sobre el programa ""Redes inteligentes- servicios de valor agregado y tecnologías de conmutación modernas"
2115611.0,GOBIERNO DE ISRAEL,CIENCIAS DE LA EDUCACION,CAMBIANDO EL MUNDO A TRAVÉS DE LA EDUCACIÓN - SEMINARIO DE EDUCACIÓN INCLUSIVA Y ESPECIAL,Israel (Estado de Israel),08/16/2011 12:00:00 AM,El programa está dirigido a profesionales en ciencias de la educación y otras áreas relacionadas- que se desempeñen como directores- orientadores- superiores- profesores de instituciones de capacitación en educación especial.REQUISITOS: Los aspirantes deben ser menores de 50- tener un promedio universitario de 3-8/5-0 experiencia laboral mínima de 1 año (después de haber obtenido el título universitario)- en el tema del curso y deben gozar de buena salud física y mental.,"> Resaltar la diferencia entre los términos ""persona con necesidades especiales"" y ""persona discapacitada""- remarcando que ante todo se está hablando de una persona y luego de sus necesidades- no discapacidades.> Proveer herramientas para una educación equitativa y de calidad para todos los niños en edad escolar- haciendo hincapié en aquellos con necesidades especiales.> Resaltar la importancia de la educación que destaque el valor de la vida- la libertad- la justicia- la igualdad y la democracia- así como el fortalecimiento de las diferentes identidades y necesidades.> Alentar a los participantes a crear programas de enseñanza en escuelas primarias y secundarias- adaptándolos pedagógicamente a cada alumno a la necesidad de proveer una educación universal sin dejar de lado la educación específica y adaptada en cada caso a la importancia de la flexibilidad- de la diversidad y de la participación.> Promover métodos de enseñanza basados en el Currículo Nacional escrito por el Ministerio de Educación y adaptarlos a las distintas necesidades de los alumnos."
6210816.0,KOÇ UNIVERSITY,MAESTRÍAS EN DIFERENTES ÁREAS,ESTUDIOS DE MAESTRÍA CON TESIS EN: CIENCIAS SOCIALES Y HUMANIDADES CIENCIAS E INGENIERÍA CIENCIAS DE LA SALUD,Turquía (República de Turquía),11/30/2015 12:00:00 AM,El programa está dirigido a profesionales universitarios en carreras afines a los programas ofrecidos que se desempeñen actualmente en entidades públicas o privadas.    REQUISITOS: El candidato debe ser mayor de 23 años y menor de 60 años- tener promedio mínimo de notas universitarias de 3-7/5-0  contar con mínimo 1 año de experiencia profesional en el programa a realizar- tener muy buenos conocimientos de idioma inglés- con puntaje mínimo de TOEFL (IBT): 80 puntos o IELTS: 6.5 mínimo en cada área.  INFORMACIÓN IMPORTANTE:  1. 1. Se recomienda a los candidatos que antes de aplicar deben revisar en detalle los tópicos o áreas de investigación actualmente desarrollados por los Profesores del programa de interés y contactarlos via email para constatar que el área de investigación del candidato puede ser supervisada por uno de los Profesores del programa.   2. Los candidatos deberán realizar el proceso de aplicación a KOÇ UNIVERSITY dentro de los plazos establecidos por la universidad a través de su sistema online (https://gradapp.ku.edu.tr) y dirigir cualquier pregunta relacionada con los programas de estudio o cómo aplicar a study@ku.edu.tr. Los plazos para aplicar en el semestre PRIMAVERA 2016 serán anunciados en la página web de cada escuela en octubre 2015.   3. Los aspirantes sin los puntajes mínimos de inglés y GRE requeridos en esta convocatoria- son elegibles para recibir una aceptación condicional y asistirían al Curso de Lengua en Postgrado de KU (GLC) durante un año. Dado que el idioma de enseñanza en la Universidad de Koç es Inglés- el programa GLC ofrece desarrollar habilidades en Inglés de gramática- escucha- habla- lectura y escritura para los estudiantes de postgrado que no pudieron lograr el dominio del idioma. Con el fin de iniciar un programa de postgrado específico- se exigirán los puntajes mínimos de IELTS / TOEFL y GRE. El candidato debe gozar de buena salud física y mental,Ofrecer a estudiantes colombianos la oportunidad de realizar estudios de maestría en Turquía.
6207214.0,LONDON SCHOOL OF COMMERCE,ADMINISTRACIÓN,BECA DE MAESTRIA EN: 1.MBA 2.MSC IN INTERNATIONAL HOSPITALITY MANAGEMENT 3.MSC IN INTERNATIONAL TOURISM MANAGEMENT,Reino Unido (Reino Unido de Gran Bretaña e Irlanda del Norte),08/14/2014 12:00:00 AM,El programa está dirigido a profesionales universitarios que cuenten con experiencia laboral mínima de dos años- exceptúando prácticas empresariales- que cuenten con promedio de notas superior a 3.6/5.0- posean admisión al programa elegido y gocen de buena salud física y mental.  REQUISITOS: Los aspirantes al programa de Maestría deben cumplir con los siguientes requisitos:  1. Diploma de grado universitario en carreras directamente afines a las maestrías ofrecidas y proveniente de una universidad reconocida (Equivalente a un programa de pregrado en el Reino Unido).  2. Si el programa de pregrado no es británico- éste no debe haber tenido una duración inferior a tres años  3. Tener mínimo 25 años de edad,Brindar la oportunidad a profesionales colombianos de obtener beca de exención del 50% del valor de la matricula para realizar un programa de Maestría en esta institución educativa. LONDON SCHOOL OF COMMERCE es una escuela de negocios de carácter privado y totalmente acreditada por British Accreditation Council For Higher Education y es también acreditada por EDUCATION UK y miembro de AIHEP (Association of Independent Higher Eduction Providers). LSC está localizada en Londres y tiene convenio con Cardiff Metropolitan University- con el fin que estudiantes alrededor del mundo tengan la oportunidad de estudiar en el corazón de Londres programas posgrado de esta prestigiosa universidad.
5000911.0,GOBIERNO DE JAPÓN - MINISTERIO EDUCACIÓN JAPONÉS,CIENCIAS DE LA EDUCACION,PROGRAMA DE INVESTIGACION PARA PROFESORES DE PRIMARIA Y SECUNDARIA,Japón (Japón),,Dirigido a profesores graduados de universidades o licenciados en educación en cualquier área del conocimiento (no aplica para normalistas)- que actualmente estén trabajando en colegios de primaria- secundaria o en escuelas de entrenamiento en campos de docencia.   REQUISITOS: Contar con más de 5 años de experiencia (posterior a la obtención del título universitario)- ser menores de 35 años de edad (haber nacido después del 2 de abril de 1976) y tener buenos conocimientos de inglés con puntajes: CBT: 213 - 240 / IBT: 79 - 95 / IELTS: 6.5 - 7.0 / MICHIGAN: 76 - 86 ó B2.   Debe tener la disposición y motivación para aprender el idioma japonés y recibir instrucción en investigación en japonés.  Los candidatos preseleccionados presentarán entrevista y un examen de inglés adicional en la Embajada de Japón.   Teniendo en cuenta la presión psicológica que pueden provocar los cambios culturales y medioambientales- los candidatos deben gozar de excelente salud física y psíquica- lo cual se considera requisito indispensable.   NOTA: No podrán participar directivos (rectores de colegios o en otros cargos similares)- profesores de universidades- ni personas que ya hayan sido beneficiadas con becas del Gobierno de Japón.,A través de este programa- ofrecido por el Ministerio de Educación- Cultura- Deportes y Ciencia (MEXT) de Japón se brinda la oportunidad a profesores colombianos que deseen realizar una investigación acerca de la educación escolar. Este programa no conduce a título- sin embargo- recibirán un certificado expedido por la universidad al completar el curso.
2237116.0,OEA - CIESI,CIENCIAS NATURALES Y ECOLOGIA,CLIMATE CHANGE. IMPLICATIONS MITIGATION AND ADAPTATION IN TROPICAL FORESTS,Perú (República del Perú),10/13/2016 12:00:00 AM,El programa está dirigido a profesionales universitarios en ciencias sociales- ingeniería agrícola- silvicultura o ganadería.También va dirigido a biólogos- comunicadores- educadores - ingenieros ambientales- urbanistas o arquitectos que se encuentren laborando en temas relacionados con las causas y efectos del cambio climático en los bosques tropicales en entidades públicas o privadas. REQUISITOS: El candidato debe ser mayor de 22 años y menor de 65 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0 poseer buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) y contar con mínimo 1 año de experiencia profesional en el tema del curso.,Los objetivos del programa son: > Adquirir un amplio marco conceptual sobre el cambio climático- calentamiento global y el efecto invernadero. > Conocer la vulnerabilidad natural- física y socio>ambiental en los bosques tropicales. > Conocer estrategias vigentes para la mitigación y adaptación al cambio climático- para finalmente adquirir herramientas de mitigación y adaptación en los bosques tropicales puntualmente.
2210213.0,GOBIERNO DE ISRAEL,CIENCIAS DE LA EDUCACION,DESARROLLO CURRICULAR,Israel (Estado de Israel),,El programa está dirigido a profesionales universitarios en ciencias de la educación responsables del desarrollo curricular- que laboren como docentes en entidades públicas ó privadas.  REQUISITOS:  El aspirante debe ser menor de 55 años- tener un promedio de notas universitarias de 3-5/5-0- conocimientos de idioma inglés: CBT: 183 > 210 / paper: 513 > 547 / IBT: 65 > 78 / IELTS: 5.5 > 6.0 / MET: B2 experiencia laboral de un año como docente y deben gozar de buena salud física y mental.,> Familiarizarse con varias conceptualizaciones y enfoques del curriculum.> Familiarizarse con el lenguaje- preguntas- contenido y asuntos del desarrollo curricular como campo de estudio.> Entender el curriculum como una construcción social.> Explorar desde punto de vista interpretativo y crítico los esfuerzos de construcción curricular y el cambio en las escuelas.> Resaltar como el estudio de curriculum empodera a las personas a través de la adquisición  del poder intelectual- personal y profesional afectando el curriculo- estudiantes- escuelas y sociedad.
2120215.0,OEA - FONDO VERDE,ADMINISTRACIÓN,DIPLOMADO EN GESTIÓN DEL TURISMO SOSTENIBLE,Perú (República del Perú),03/30/2015 12:00:00 AM,El programa está dirigido a profesionales ó técnicos en Turismo- Geografía- Humanidades- Administración de Empresas- Ciencias ambientales- Periodismo- que actualmente se desempeñen en actividades propias del turismo como guías locales y de ruta- o en planeación de turismo en el país- ciudad o región. Los aspirantes deben laborar en entidades públicas o privadas en áreas directamente relacionadas con el tema del curso. REQUISITOS: Los candidatos deben ser menores de 55 años- tener un año de experiencia laboral mínima en actividades turísticas tener conocimientos en procesador de textos- internet y correo electrónico. Contar con promedio de notas universitarias de 3-7/5-0,> Comprender lo que aporta el concepto de la sostenibilidad a la actividad económica tradicional entender la importancia de la planificación del turismo y aprender y aplicar técnicas de medición del turismo sostenible.> Diseñar y planificar en el destino turístico planes sobre la base de la sostenibilidad- recuperación y dinamización.> Promover el aprovechamiento equitativo y sustentable de los recursos naturales- históricos- culturales y de infraestructura Turística.> Propiciar la participación de todos los agentes involucrados en el Sistema Integral de Turismo.
6208615.0,REPÚBLICA DE COREA - KOICA,ADMINISTRACIÓN,MASTER`S DEGREE PROGRAM IN INTERNATIONAL STUDIES,Corea del Sur (República de Corea),,El programa está dirigido a profesionales que se desempeñen en actividades directamente relacionadas con la formulación de políticas- en entidades del sector público y deseen adelantar estudios de maestría en esta área- los empleados del sector privado no serán tenidos en cuenta. REQUISITOS: El aspirante debe ser mayor de 24 años y menor de 40 años preferiblemente tener experiencia profesional mínima de un año. contar con un promedio acumulado de notas de 3-7/5. Dominar el idioma inglés (TOEFL: por Internet (IBT) 78 puntos- Prueba por computador: 210 puntos- IELTS: 6.0 TOEIC: 605 puntos) y/o coreano- y gozar de excelente salud física y mental . NOTA: Los aspirantes que hayan sido beneficiarios de Koica- no podrán aplicar,Capacitar a los líderes mundiales entre los funcionarios públicos en los países en desarrollo para promover el desarrollo económico y social. > Dotar a los funcionarios públicos con capacidad administrativa basada en el conocimiento de los recursos humanos- organización- finanzas y experiencia política. > Compartir la experiencia de Corea en la administración del desarrollo en última instancia- ayudar a los participantes en la promoción del desarrollo en sus países de origen.
2211613.0,GOBIERNO DE LA INDIA,ADMINISTRACIÓN,INTERNATIONAL TRAINING PROGRAMME IN MANPOWER RESEARCH,India (República de India),,"El ""Programa internacional de formación de recursos humanos en la investigación"" está dirigido a profesionales universitarios que se desempeñen como administradores de empresas- en entidades públicas- privadas u ONGs.   REQUISITOS: El aspirante debe ser menor de 45 años de edad  tener un promedio de notas universitarias mínimo de 3-7/5-0  contar con cinco años de experiencia laboral- en el área del programa. El candidato deberá tener buenos conocimientos de idioma inglés puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. El aspirante no debe haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los candidatos Preseleccionados serán llamados a entrevista ante la Embajada de la India- si ellos lo estiman conveniente.",Brindar a los participantes conocimientos y actualización en el campo del curso.
2100112.0,GOBIERNO DE ISRAEL,CIENCIAS DE LA EDUCACION,CIENCIA Y MEDIO AMBIENTE EN EL MARCO DE LA EDUCACIÓN PREESCOLAR,Israel (Estado de Israel),02/13/2012 12:00:00 AM,El programa está dirigido a Planificadores- Directores- Supervisores- Asesores y Maestras del área de educación de menores de 6 años que ejercen sus funciones en Ministerios o Secretarias de Educación- Organismos de Medio Ambiente- Municipalidades- Organizaciones no Gubernamentales- etc. Asimismo- a Decanos- Directores- Catedráticos y Maestras de la carrera de educación preescolar que forman docentes para Centros Maternales y Jardines de infantes  REQUISITOS:  El aspirante debe tener un promedio de notas universitarias de 3-7/5-0- un año de experiencia profesional (después de haber obtenido el título universitario)- en el área de estudios y gozar de buena salud física y mental.,> Participar de un intercambio entre profesionales de América Latina e Israel- sobre la problemática medioambiental y como comenzar a concientizar a los niños.> Enriquecer conocimientos y adquirir nuevas experiencias sobre organización y enfoques metodológicos en la educación en ciencia- tecnología y medio ambiente- para niños pequeños.> Observar metodologías para interesar al niño en la ciencia y en el medio ambiente en forma natural- sin necesidad de materiales sofisticados sino accesibles a todos.> Conocer técnicas novedosas que mejoran la interacción entre docentes- directores- supervisores y otros profesionales que interactúan en los mismos marcos de acción.> Equilibrar entre la tendencia a conseguir sobre todo logros cognitivos y la importancia del desarrollo ético afectivo.> Aprender a elaborar propuestas creativas para mejorar la labor en sus marcos habituales de acción.
2111714.0,OEA- CITEL,INGENIERIA Y AFINES,REDES LAN Y CORPORATIVAS (CURSO A DISTANCIA),Argentina (República Argentina),11/14/2013 12:00:00 AM,El programa está dirigido a:   > Profesionales y Técnicos- así como gerentes- jefes y personal especializado que trabaje en Planificación- diseño- homologación y  mantenimiento  de redes en organizaciones del sector de  las Telecomunicaciones.  > Personal de Áreas de Planificación y Tecnología de la información y la comunicación que se desempeñen con los principios de diseño de las redes LANs.  > Gerentes planificadores y tomadores de decisiones relacionados con la red de telecomunicaciones.   REQUISITOS: El aspirante debe contar mínimo con dos años de experiencia profesional relacionada directamente con toma de decisiones o administración de redes de telecomunicaciones- tener un promedio universitario de 3-7/5-0.  Tener acceso a un equipo de computación y a Internet con las siguientes especificaciones técnicas: COMPUTADOR: Debe permitir utilizar las últimas versiones de navegadores. ACCESO A INTERNET: Debe tener acceso a la red desde su lugar de trabajo o desde su casa.,OBJETIVO GENERAL:Comprender las tecnologías de las redes locales (LAN) en los ambientes empresariales. Desarrollar una estructura básica de tales redes.OBJETIVOS ESPECIFICOS:> Comprender las tecnologías de bases de las redes LANs.> Comprender la problemática de segmentación y de distribución de tráfico.> Comprender los principios de enrutamiento y su utilización en las redes corporativas.> Conocer las tecnologías disponibles para la vinculación de las redes LANs.> Dimensionar una red y proponer su arquitectura y estructura.
5202115.0,OPEN HEARTS LANGUAGE ACADEMY - OHLA,IDIOMAS,IEP - 24 PROGRAMA DE INGLÉS INTENSIVO,Estados Unidos (Estados Unidos de América),10/27/2015 12:00:00 AM,El programa está dirigido a estudiantes de quinto semestre en adelante y profesionales universitarios que requieran utilizar el idioma inglés en sus actividades o deseen perfeccionar sus conocimientos de inglés.  REQUISITOS: El candidato debe ser mayor de 18 años y menor de 30 años- tener un promedio de notas universitarias hasta quinto semestre de 4-0/5-0 y gozar de buena salud física y mental,El curso busca preparar al candidato en el perfeccionamiento del idioma inglés- creando una experiencia y entorno académico que apoya a los estudiantes a cumplir sus objetivos lingüísticos tanto a nivel personal como académico. Así mismo- busca proveerle al candidato un ambiente personalizado donde le sea posible explorar su creatividad lingüística.> La institución busca proveerle al participante excelentes servicios estudiantiles que varían desde tecnología innovadora en el salón de clase- hasta modernas instalaciones.El programa tiene 8 niveles- desde el más básico hasta el más avanzado llamado ELITE. Cada nivel tiene una duración de 12 semanas.
6208515.0,REPÚBLICA DE COREA - KOICA,ADMINISTRACIÓN,MASTER'S DEGREE PROGRAM IN PUBLIC ADMINISTRATION,Corea del Sur (República de Corea),,El programa está dirigido a profesionales que se desempeñen en actividades directamente relacionadas con la formulación de políticas- en entidades del sector público y deseen adelantar estudios de maestría en esta área- los empleados del sector privado no serán tenidos en cuenta. REQUISITOS: El aspirante debe ser mayor de 24 años y menor de 40 años preferiblemente tener experiencia profesional mínima de un año. contar con un promedio acumulado de notas de 3-7/5. Dominar el idioma inglés (TOEFL: por Internet (IBT) 78 puntos- Prueba por computador: 210 puntos- IELTS: 6.0 TOEIC: 605 puntos) y/o coreano- y gozar de excelente salud física y mental . NOTA: Los aspirantes que hayan sido beneficiarios de Koica- no podrán aplicar.,> Capacitar a los líderes mundiales entre los funcionarios públicos en los países en desarrollo para promover el desarrollo económico y social. > Dotar a los funcionarios públicos con capacidad administrativa basada en el conocimiento de los recursos humanos- organización- finanzas y experiencia política. > Compartir la experiencia de Corea en la administración del desarrollo en última instancia- ayudar a los participantes en la promoción del desarrollo en sus países de origen
4100814.0,ALIANZA DEL PACÍFICO-CHILE-MÉXICO-PERÚ,DIFERENTES AREAS,PLATAFORMA DE MOVILIDAD ESTUDIANTIL Y ACADÉMICA DE LA ALIANZA DEL PACÍFICO - PREGRADO - UNIVERSIDAD AUTÓNOMA METROPOLITANA DE MÉXICO,México (Estados Unidos Mexicanos),02/13/2014 12:00:00 AM,El programa está dirigido a estudiantes universitarios que hayan aprobado como mínimo el quinto semestre de los siguientes programas: negocios- finanzas- comercio internacional- administración pública- ciencia política- turismo- economía- relaciones Internacionales- medio ambiente y cambio climático- otras como ingenierías- ciencia y tecnología- ciencias exactas- entre otros siempre que se ajusten a los objetivos de la Alianza del Pacífico ligados a relaciones comerciales e internacionales y para realizar un semestre de movilidad académica en la Universidad Autónoma de México.  REQUISITOS: El aspirante debe contar con la admisión definitiva al programa de la universidad en el marco de esta alianza y tener promedio de notas universitarias de 4-0/5-0. Deben gozar de muy buena salud física y mental.,El objetivo del Programa de Becas de Movilidad Estudiantil y Académica de la Alianza del Pacifico es contribuir a la formación de capital humano avanzado de los nacionales de los países miembros de la Alianza del Pacífico a través del intercambio académico de estudiantes de pregrado en universidades mexicanas- en este caso la Universidad Autónoma de México.
6101412.0,UNIVERSIDAD ADOLFO IBAÑEZ,ADMINISTRACIÓN,PROGRAMA DE MAESTRÍA EN LA UNIVERSIDAD ADOLFO IBAÑEZ,Chile (República de Chile),05/25/2012 12:00:00 AM,El programa está dirigido a profesionales que se desempeñen como empresarios y altos ejecutivos de compañías líderes en Administración de Negocios  deben contar con admisión para el programa MBA International Programme en español.   REQUISITOS: El aspirante debe tener un promedio mínimo de notas de 3.8- ser mayor de 25 y menor de 35 años de edad- contar con experiencia mínima de dos años (después de haber obtenido el título universitario) en el área del Programa a realizar. poseer buenos conocimientos del idioma inglés  (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos). Gozar de buena salud física y mental.,Capacitar a profesionales colombianos en MBA International programme- en la Universidad Adolfo Ibañez.
2112911.0,OEA - GOBIERNO DE ISRAEL,CIENCIAS DE LA EDUCACION,METODOLOGÍAS EDUCACIONALES:  JUVENTUD EN RIESGO:  PREVENCIÓN DE LA DESERCIÓN ESTUDIANTIL Y FACILITACIÓN DE LA REINTEGRACIÓN,Israel (Estado de Israel),08/26/2011 12:00:00 AM,El programa está dirigido a profesionales en ciencias de la educación- sicología y otras áreas relacionadas- que se desempeñen como directores- asesores- supervisores y sicólogos- en el tema de juventud en riesgo.   REQUISITOS: Los aspirantes deben ser menores de 50- tener un promedio universitario de 3-7/5-0 experiencia laboral mínima de 5 años (después de haber obtenido el título universitario)- en el tema de juventud y deben gozar de buena salud física y mental.  NOTA:  Deben enviar una copia de la documentación por correo electrónico a la coordinación del curso:  yudith@ofri.org.il,> La creación de lazos de mutua confianza con los jóvenes para lograr su reintegración al Sistema Educativo.> Asistir a los jóvenes en su desarrollo y en el proceso de descubrimiento de su potencial para ayudarse a sí mismos y su comunidad.> Reducir la alienación del joven de su comunidad y la sociedad.> Planear servicios educativos para jóvenes en riesgo entre las edades de 12 y 18 años.> Elevar la conciencia multicultural en los profesionales que trabajan con jóvenes en riesgo.> Crear currículos de estudios acordes a las necesidades de los jóvenes.> Promover métodos de enseñanza tanto de materias específicas como interdisciplinarias.> Capacitar al cuerpo educativo y brindarles apoyo en el cumplimiento de sus funciones.> Elegir métodos adecuados a las necesidades particulares en los ámbitos laborales de los participantes.> Proveer una base para capacitaciones futuras- acorde a las necesidades de los distintos países e instituciones.
5112311.0,OEA- GOBIERNO DE ESPAÑA- UNED,CIENCIAS DE LA EDUCACION,EXPERTO UNIVERSITARIO EN INFORMATICA EDUCATIVA (PROGRAMA MODULAR TECNOLOGÍAS PARA LA EDUCACIÓN Y EL CONOCIMIENTO),España (Reino de España),09/19/2011 12:00:00 AM,El programa está dirigido a profesionales en educación o en otras carreras afines al contenido del curso- que se desempeñen directamente con las tecnologías de la educación.   REQUISITOS: El aspirante debe ser mayor de 23 años y menor de 60- tener un promedio de notas de 3-8/5-0 contar con dos años de experiencia (después de haber obtenido el título universitario) en informática educativa. Deben poseer conocimientos básicos de procesador de texto (word) y manejo de Internet.,GENERAL: Facilitar el aprendizaje y uso de las Tecnologías de la Información y la Comunicación para la Educación y el Conocimiento. ESPECÍFICOS: > Ofrecer una visión de las TIC como instrumento al servicio del educador para la resolución de problemas. Utilizar los medios informáticos como vehículo para el desarrollo de metodologías creativas.> Ejercitarse en las nuevas estrategias para el aprendizaje- estilos de aprendizaje- inteligencia emocional- blogs- webquest- wikis- portafolio.> Conocer y experimentar los procesos de comunicación a distancia por medios telemáticos- Internet- páginas web.> Introducir al docente en las posibilidades creativas y educativas de los sistemas multimedia.> Conocer y practicar nuevas vías para la formación del profesorado.> Familiarizarse con la dinámica de los cursos On>Line. Participar y aprender a diseñar Cursos On>Line.> Comprobar y practicar las distintas posibilidades de las plataformas telemáticas: Web CT- Moodle.
